Date,Change in OI,Close,Expiry,High,Last,Low,Number of Contracts,Open,Open Interest,Settle Price,Symbol,Turnover,Underlying,Volume,expiry
2004-11-01,,1797.75,,1800.25,,1776.7,,1787.3,,,,21861800000.0,,79012229.0,2005-01-27
2004-11-02,,1813.7,,1817.1,,1798.3,,1798.3,,,,21583000000.0,,76288479.0,2005-01-27
2004-11-03,,1837.4,,1838.4,,1814.15,,1814.15,,,,26744699999.999996,,86217947.0,2005-01-27
2004-11-04,,1834.85,,1853.05,,1830.5,,1837.8,,,,24861200000.0,,85025973.0,2005-01-27
2004-11-05,,1852.3,,1854.4,,1836.0,,1836.05,,,,21530900000.0,,63624259.0,2005-01-27
2004-11-08,,1862.8,,1871.05,,1852.45,,1852.45,,,,24758900000.0,,63019704.0,2005-01-27
2004-11-09,,1858.75,,1869.45,,1853.45,,1863.55,,,,22266200000.0,,63300470.0,2005-01-27
2004-11-10,,1876.1,,1878.2,,1857.7,,1859.65,,,,22878500000.0,,71714188.0,2005-01-27
2004-11-11,,1870.55,,1884.65,,1866.95,,1876.45,,,,19573300000.0,,58868131.0,2005-01-27
2004-11-12,,1872.95,,1885.05,,1866.75,,1871.9,,,,4948700000.0,,21421309.0,2005-01-27
2004-11-16,,1879.0,,1881.4,,1862.8,,1872.8,,,,23487199999.999996,,68597061.0,2005-01-27
2004-11-17,,1888.65,,1892.15,,1874.35,,1879.05,,,,22626500000.0,,77652189.0,2005-01-27
2004-11-18,,1892.05,,1895.3,,1880.8,,1890.45,,,,24934899999.999996,,91092186.0,2005-01-27
2004-11-19,,1872.35,,1898.15,,1869.35,,1891.95,,,,25274200000.0,,83053004.0,2005-01-27
2004-11-22,,1873.35,,1878.05,,1845.1,,1872.55,,,,24060500000.0,,73274594.0,2005-01-27
2004-11-23,,1892.6,,1900.05,,1873.35,,1873.35,,,,23212500000.0,,82131852.0,2005-01-27
2004-11-24,,1904.05,,1907.35,,1889.85,,1893.15,,,,21790100000.000004,,65665293.0,2005-01-27
2004-11-25,,1901.05,,1915.8,,1892.6,,1904.25,,,,34064100000.0,,105457319.0,2005-01-27
2004-11-29,,1939.65,,1942.95,,1894.6,,1899.3,,,,33697100000.0,,110660425.0,2005-01-27
2004-11-30,,1958.8,,1963.8,,1940.25,,1940.25,,,,36063300000.0,,119046574.0,2005-01-27
2004-12-01,,1962.05,,1971.6,,1944.5,,1960.75,,,,33653200000.0,,114582297.0,2005-01-27
2004-12-02,,1999.0,,2001.55,,1962.75,,1962.75,,,,41875000000.0,,131745401.0,2005-01-27
2004-12-03,,1996.2,,2011.9,,1990.3,,1991.9,,,,36600500000.0,,111129666.0,2005-01-27
2004-12-06,,1993.15,,2012.25,,1989.95,,1996.3,,,,31571000000.0,,103216603.0,2005-01-27
2004-12-07,,1992.7,,2002.6,,1981.15,,1990.6,,,,27814200000.0,,91427830.0,2005-01-27
2004-12-08,,1977.95,,2009.7,,1973.15,,1994.15,,,,28724100000.0,,101909462.0,2005-01-27
2004-12-09,,1989.95,,1995.7,,1964.5,,1977.8,,,,28286400000.0,,87016756.0,2005-01-27
2004-12-10,,1969.0,,1999.7,,1964.65,,1990.2,,,,28567399999.999996,,86928429.0,2005-01-27
2004-12-13,,1985.35,,1987.0,,1964.8,,1970.6,,,,23401500000.0,,68234148.0,2005-01-27
2004-12-14,,2006.8,,2008.8,,1972.85,,1985.2,,,,21798600000.0,,80092685.0,2005-01-27
2004-12-15,,2028.7,,2034.35,,2006.8,,2006.8,,,,28928600000.0,,86232934.0,2005-01-27
2004-12-16,,2033.2,,2039.2,,2019.5,,2028.8,,,,27304600000.0,,76507235.0,2005-01-27
2004-12-17,,2012.1,,2037.7,,2007.2,,2032.85,,,,26006600000.0,,86236837.0,2005-01-27
2004-12-20,,2026.85,,2029.5,,2007.15,,2012.5,,,,26069899999.999996,,83223264.0,2005-01-27
2004-12-21,,2044.65,,2047.5,,2025.25,,2027.8,,,,25808700000.0,,73293290.0,2005-01-27
2004-12-22,,2035.35,,2053.9,,2029.85,,2040.6,,,,28793400000.0,,75621797.0,2005-01-27
2004-12-23,,2045.15,,2049.3,,2031.9,,2035.6,,,,21040800000.0,,57029880.0,2005-01-27
2004-12-24,,2062.7,,2065.6,,2045.3,,2045.35,,,,22910600000.0,,68446068.0,2005-01-27
2004-12-27,,2062.6,,2079.05,,2046.25,,2061.6,,,,25375800000.0,,73520453.0,2005-01-27
2004-12-28,,2071.35,,2074.6,,2060.05,,2063.6,,,,24115900000.0,,85664006.0,2005-01-27
2004-12-29,,2069.6,,2086.15,,2062.35,,2071.55,,,,22648400000.0,,68714648.0,2005-01-27
2004-12-30,,2059.8,,2088.45,,2052.25,,2070.55,,,,28173500000.0,,79260391.0,2005-01-27
2004-12-31,,2080.5,,2083.0,,2059.85,,2059.85,,,,19893800000.0,,60138542.0,2005-01-27
2005-01-03,,2115.0,,2118.6,,2080.0,,2080.0,,,,23751000000.0,,70506865.0,2005-01-27
2005-01-04,,2103.75,,2120.15,,2100.55,,2116.95,,,,24161300000.0,,72718302.0,2005-01-27
2005-01-05,,2032.2,,2105.1,,1990.15,,2103.75,,,,36220200000.0,,109223487.0,2005-01-27
2005-01-06,,1998.35,,2035.65,,1984.25,,2031.55,,,,32338200000.0,,94321939.0,2005-01-27
2005-01-07,,2015.5,,2021.45,,1992.55,,1998.25,,,,27640300000.000004,,76285818.0,2005-01-27
2005-01-10,,1982.0,,2025.9,,1974.8,,2016.75,,,,23492600000.000004,,75659206.0,2005-01-27
2005-01-11,,1952.05,,1988.9,,1947.35,,1982.7,,,,26358700000.0,,70270295.0,2005-01-27
2005-01-12,,1913.6,,1966.65,,1900.85,,1953.6,,,,33486900000.0,,85040272.0,2005-01-27
2005-01-13,,1954.55,,1963.4,,1916.95,,1922.5,,,,28646800000.0,,80904072.0,2005-01-27
2005-01-14,,1931.1,,1961.4,,1922.85,,1954.9,,,,26532199999.999996,,86211083.0,2005-01-27
2005-01-17,,1932.9,,1944.55,,1902.45,,1931.75,,,,27001300000.0,,82253062.0,2005-01-27
