Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2017-08-09,CE,10600.0,12.25,9908.05,2017-09-28,9908.05,50,3500
2017-08-10,CE,10600.0,10.15,9820.25,2017-09-28,9820.25,49,3500
2017-08-11,CE,10600.0,6.7,9710.8,2017-09-28,9710.8,48,3500
2017-08-14,CE,10600.0,8.35,9794.15,2017-09-28,9794.15,45,3500
2017-08-16,CE,10600.0,10.1,9897.3,2017-09-28,9897.3,43,3500
2017-08-17,CE,10600.0,9.55,9904.15,2017-09-28,9904.15,42,3500
2017-08-18,CE,10600.0,7.35,9837.4,2017-09-28,9837.4,41,3500
2017-08-21,CE,10600.0,5.85,9754.35,2017-09-28,9754.35,38,3500
2017-08-22,CE,10600.0,4.7,9765.55,2017-09-28,9765.55,37,3500
2017-08-23,CE,10600.0,4.45,9852.5,2017-09-28,9852.5,36,3500
2017-08-24,CE,10600.0,3.95,9857.05,2017-09-28,9857.05,35,3500
2017-08-28,CE,10600.0,3.85,9912.8,2017-09-28,9912.8,31,3500
2017-08-29,CE,10600.0,2.45,9796.05,2017-09-28,9796.05,30,3500
2017-08-30,CE,10600.0,2.9,9884.4,2017-09-28,9884.4,29,3500
2017-08-31,CE,10600.0,2.0,9917.9,2017-09-28,9917.9,28,3500
2017-09-01,CE,10600.0,2.35,9974.4,2017-09-28,9974.4,27,3500
2017-09-04,CE,10600.0,1.9,9912.85,2017-09-28,9912.85,24,3500
2017-09-05,CE,10600.0,1.75,9952.2,2017-09-28,9952.2,23,3500
2017-09-06,CE,10600.0,1.55,9916.2,2017-09-28,9916.2,22,3500
2017-09-07,CE,10600.0,1.5,9929.9,2017-09-28,9929.9,21,3500
2017-09-08,CE,10600.0,1.45,9934.8,2017-09-28,9934.8,20,3500
2017-09-11,CE,10600.0,1.55,10006.05,2017-09-28,10006.05,17,3500
2017-09-12,CE,10600.0,1.45,10093.05,2017-09-28,10093.05,16,3500
2017-09-13,CE,10600.0,1.05,10079.3,2017-09-28,10079.3,15,3500
2017-09-14,CE,10600.0,1.0,10086.6,2017-09-28,10086.6,14,3500
2017-09-15,CE,10600.0,0.85,10085.4,2017-09-28,10085.4,13,3500
2017-09-18,CE,10600.0,1.0,10153.1,2017-09-28,10153.1,10,3500
2017-09-19,CE,10600.0,1.0,10147.55,2017-09-28,10147.55,9,3500
2017-09-20,CE,10600.0,0.7,10141.15,2017-09-28,10141.15,8,3500
2017-09-21,CE,10600.0,0.6,10121.9,2017-09-28,10121.9,7,3500
2017-09-22,CE,10600.0,0.55,9964.4,2017-09-28,9964.4,6,3500
