Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2014-12-29,PE,9500.0,1163.85,8246.3,2015-01-29,8246.3,31,3500
2014-12-30,PE,9500.0,1171.45,8248.25,2015-01-29,8248.25,30,3500
2014-12-31,PE,9500.0,1149.0,8282.7,2015-01-29,8282.7,29,3500
2015-01-01,PE,9500.0,1140.8,8284.0,2015-01-29,8284.0,28,3500
2015-01-02,PE,9500.0,1019.35,8395.45,2015-01-29,8395.45,27,3500
2015-01-05,PE,9500.0,1070.8,8378.4,2015-01-29,8378.4,24,3500
2015-01-06,PE,9500.0,1318.65,8127.35,2015-01-29,8127.35,23,3500
2015-01-07,PE,9500.0,1343.75,8102.1,2015-01-29,8102.1,22,3500
2015-01-08,PE,9500.0,1229.8,8234.6,2015-01-29,8234.6,21,3500
2015-01-09,PE,9500.0,1168.15,8284.5,2015-01-29,8284.5,20,3500
2015-01-12,PE,9500.0,1128.75,8323.0,2015-01-29,8323.0,17,3500
2015-01-13,PE,9500.0,1171.2,8299.4,2015-01-29,8299.4,16,3500
2015-01-14,PE,9500.0,1177.05,8277.55,2015-01-29,8277.55,15,3500
2015-01-15,PE,9500.0,977.55,8494.15,2015-01-29,8494.15,14,3500
2015-01-16,PE,9500.0,957.8,8513.8,2015-01-29,8513.8,13,3500
2015-01-19,PE,9500.0,916.45,8550.7,2015-01-29,8550.7,10,3500
2015-01-20,PE,9500.0,778.0,8695.6,2015-01-29,8695.6,9,3500
2015-01-21,PE,9500.0,755.55,8729.5,2015-01-29,8729.5,8,3500
2015-01-22,PE,9500.0,718.6,8761.4,2015-01-29,8761.4,7,3500
2015-01-23,PE,9500.0,655.65,8835.6,2015-01-29,8835.6,6,3500
2015-01-27,PE,9500.0,574.85,8910.5,2015-01-29,8910.5,2,3500
2015-01-28,PE,9500.0,591.15,8914.3,2015-01-29,8914.3,1,3500
2015-01-29,PE,9500.0,538.4,8952.35,2015-01-29,8952.35,0,3500
2014-11-03,CE,9500.0,13.3,8324.15,2015-01-29,8324.15,87,3500
2014-11-05,CE,9500.0,13.3,8338.3,2015-01-29,8338.3,85,3500
