Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2011-09-07,CE,6300.0,18.55,5124.65,2011-11-24,5124.65,78,3500
2011-09-08,CE,6300.0,18.55,5153.25,2011-11-24,5153.25,77,3500
2011-09-09,CE,6300.0,18.55,5059.45,2011-11-24,5059.45,76,3500
2011-09-12,CE,6300.0,18.55,4946.8,2011-11-24,4946.8,73,3500
2011-09-13,CE,6300.0,18.55,4940.95,2011-11-24,4940.95,72,3500
2011-09-14,CE,6300.0,18.55,5012.55,2011-11-24,5012.55,71,3500
2011-09-15,CE,6300.0,18.55,5075.7,2011-11-24,5075.7,70,3500
2011-09-16,CE,6300.0,18.55,5084.25,2011-11-24,5084.25,69,3500
2011-09-19,CE,6300.0,18.55,5031.95,2011-11-24,5031.95,66,3500
2011-09-20,CE,6300.0,18.55,5140.2,2011-11-24,5140.2,65,3500
2011-09-21,CE,6300.0,18.55,5133.25,2011-11-24,5133.25,64,3500
2011-09-22,CE,6300.0,18.55,4923.65,2011-11-24,4923.65,63,3500
2011-09-23,CE,6300.0,18.55,4867.75,2011-11-24,4867.75,62,3500
2011-09-26,CE,6300.0,18.55,4835.4,2011-11-24,4835.4,59,3500
2011-09-27,CE,6300.0,18.55,4971.25,2011-11-24,4971.25,58,3500
2011-09-28,CE,6300.0,18.55,4945.9,2011-11-24,4945.9,57,3500
2011-09-29,CE,6300.0,18.55,5015.45,2011-11-24,5015.45,56,3500
2011-09-30,CE,6300.0,18.55,4943.25,2011-11-24,4943.25,55,3500
2011-10-03,CE,6300.0,18.55,4849.5,2011-11-24,4849.5,52,3500
2011-10-04,CE,6300.0,18.55,4772.15,2011-11-24,4772.15,51,3500
2011-10-05,CE,6300.0,18.55,4751.3,2011-11-24,4751.3,50,3500
2011-10-07,CE,6300.0,18.55,4888.05,2011-11-24,4888.05,48,3500
2011-10-10,CE,6300.0,18.55,4979.6,2011-11-24,4979.6,45,3500
2011-10-11,CE,6300.0,18.55,4974.35,2011-11-24,4974.35,44,3500
2011-10-12,CE,6300.0,18.55,5099.4,2011-11-24,5099.4,43,3500
2011-10-13,CE,6300.0,18.55,5077.85,2011-11-24,5077.85,42,3500
2011-10-14,CE,6300.0,18.55,5132.3,2011-11-24,5132.3,41,3500
2011-10-17,CE,6300.0,18.55,5118.25,2011-11-24,5118.25,38,3500
2011-10-18,CE,6300.0,18.55,5037.5,2011-11-24,5037.5,37,3500
2011-10-19,CE,6300.0,2.0,5139.15,2011-11-24,5139.15,36,3500
2011-10-20,CE,6300.0,0.7,5091.9,2011-11-24,5091.9,35,3500
2011-10-21,CE,6300.0,0.65,5049.95,2011-11-24,5049.95,34,3500
2011-10-24,CE,6300.0,0.3,5098.35,2011-11-24,5098.35,31,3500
2011-10-25,CE,6300.0,0.2,5191.6,2011-11-24,5191.6,30,3500
2011-10-26,CE,6300.0,0.2,5201.8,2011-11-24,5201.8,29,3500
2011-10-28,CE,6300.0,0.5,5360.7,2011-11-24,5360.7,27,3500
2011-10-31,CE,6300.0,0.25,5326.6,2011-11-24,5326.6,24,3500
2011-11-01,CE,6300.0,0.35,5257.95,2011-11-24,5257.95,23,3500
2011-11-02,CE,6300.0,0.25,5258.45,2011-11-24,5258.45,22,3500
2011-11-03,CE,6300.0,0.25,5265.75,2011-11-24,5265.75,21,3500
2011-11-04,CE,6300.0,0.25,5284.2,2011-11-24,5284.2,20,3500
2011-11-08,CE,6300.0,0.2,5289.35,2011-11-24,5289.35,16,3500
2011-11-09,CE,6300.0,0.15,5221.05,2011-11-24,5221.05,15,3500
2011-11-11,CE,6300.0,0.15,5168.85,2011-11-24,5168.85,13,3500
2011-11-14,CE,6300.0,0.15,5148.35,2011-11-24,5148.35,10,3500
2011-11-15,CE,6300.0,0.15,5068.5,2011-11-24,5068.5,9,3500
2011-11-16,CE,6300.0,0.2,5030.45,2011-11-24,5030.45,8,3500
2011-11-17,CE,6300.0,0.2,4934.75,2011-11-24,4934.75,7,3500
2011-11-18,CE,6300.0,0.2,4905.8,2011-11-24,4905.8,6,3500
2011-11-21,CE,6300.0,0.35,4778.35,2011-11-24,4778.35,3,3500
2011-11-22,CE,6300.0,0.25,4812.35,2011-11-24,4812.35,2,3500
2011-11-23,CE,6300.0,0.2,4706.45,2011-11-24,4706.45,1,3500
2011-11-24,CE,6300.0,0.05,4756.45,2011-11-24,4756.45,0,3500
2011-10-03,PE,5500.0,674.9,4849.5,2011-12-29,4849.5,87,3500
2011-10-04,PE,5500.0,748.55,4772.15,2011-12-29,4772.15,86,3500
2011-10-05,PE,5500.0,728.1,4751.3,2011-12-29,4751.3,85,3500
2011-10-07,PE,5500.0,637.5,4888.05,2011-12-29,4888.05,83,3500
2011-10-10,PE,5500.0,543.5,4979.6,2011-12-29,4979.6,80,3500
2011-10-11,PE,5500.0,546.1,4974.35,2011-12-29,4974.35,79,3500
2011-10-12,PE,5500.0,444.0,5099.4,2011-12-29,5099.4,78,3500
2011-10-13,PE,5500.0,469.9,5077.85,2011-12-29,5077.85,77,3500
2011-10-14,PE,5500.0,405.65,5132.3,2011-12-29,5132.3,76,3500
2011-10-17,PE,5500.0,424.5,5118.25,2011-12-29,5118.25,73,3500
2011-10-18,PE,5500.0,474.3,5037.5,2011-12-29,5037.5,72,3500
2011-10-19,PE,5500.0,389.3,5139.15,2011-12-29,5139.15,71,3500
2011-10-20,PE,5500.0,425.45,5091.9,2011-12-29,5091.9,70,3500
2011-10-21,PE,5500.0,461.75,5049.95,2011-12-29,5049.95,69,3500
2011-10-24,PE,5500.0,407.95,5098.35,2011-12-29,5098.35,66,3500
2011-10-25,PE,5500.0,323.25,5191.6,2011-12-29,5191.6,65,3500
2011-10-26,PE,5500.0,318.1,5201.8,2011-12-29,5201.8,64,3500
2011-10-28,PE,5500.0,212.25,5360.7,2011-12-29,5360.7,62,3500
