Date,Option Type,Strike Price,close,Underlying,expiry,futures,days2expiry,atm_strike
2006-04-07,PE,3600.0,143.6,3454.8,2006-06-29,3454.8,83,3500
2006-04-10,PE,3600.0,143.6,3478.45,2006-06-29,3478.45,80,3500
2006-04-12,PE,3600.0,143.6,3380.0,2006-06-29,3380.0,78,3500
2006-04-13,PE,3600.0,143.6,3345.5,2006-06-29,3345.5,77,3500
2006-04-17,PE,3600.0,143.6,3425.15,2006-06-29,3425.15,73,3500
2006-04-18,PE,3600.0,143.6,3518.1,2006-06-29,3518.1,72,3500
2006-04-19,PE,3600.0,143.6,3535.85,2006-06-29,3535.85,71,3500
2006-04-20,PE,3600.0,143.6,3573.5,2006-06-29,3573.5,70,3500
2006-04-21,PE,3600.0,143.6,3573.05,2006-06-29,3573.05,69,3500
2006-04-24,PE,3600.0,143.6,3548.9,2006-06-29,3548.9,66,3500
2006-04-25,PE,3600.0,143.6,3462.65,2006-06-29,3462.65,65,3500
2006-04-26,PE,3600.0,143.6,3555.75,2006-06-29,3555.75,64,3500
2006-04-27,PE,3600.0,123.0,3508.1,2006-06-29,3508.1,63,3500
2006-04-28,PE,3600.0,161.0,3508.35,2006-06-29,3508.35,62,3500
2006-04-29,PE,3600.0,161.0,3557.6,2006-06-29,3557.6,61,3500
2006-05-02,PE,3600.0,104.05,3605.45,2006-06-29,3605.45,58,3500
2006-05-03,PE,3600.0,118.0,3634.25,2006-06-29,3634.25,57,3500
2006-05-04,PE,3600.0,120.0,3648.4,2006-06-29,3648.4,56,3500
2006-05-05,PE,3600.0,126.9,3663.95,2006-06-29,3663.95,55,3500
2006-05-08,PE,3600.0,91.4,3693.15,2006-06-29,3693.15,52,3500
2006-05-09,PE,3600.0,81.65,3720.55,2006-06-29,3720.55,51,3500
2006-05-10,PE,3600.0,73.85,3754.25,2006-06-29,3754.25,50,3500
2006-05-11,PE,3600.0,92.25,3701.05,2006-06-29,3701.05,49,3500
2006-05-12,PE,3600.0,111.55,3650.05,2006-06-29,3650.05,48,3500
2006-05-15,PE,3600.0,210.0,3502.95,2006-06-29,3502.95,45,3500
2006-05-16,PE,3600.0,180.5,3523.3,2006-06-29,3523.3,44,3500
2006-05-17,PE,3600.0,113.55,3635.1,2006-06-29,3635.1,43,3500
2006-05-18,PE,3600.0,226.0,3388.9,2006-06-29,3388.9,42,3500
2006-05-19,PE,3600.0,440.0,3246.9,2006-06-29,3246.9,41,3500
2006-05-22,PE,3600.0,645.0,3081.35,2006-06-29,3081.35,38,3500
2006-05-23,PE,3600.0,518.3,3199.35,2006-06-29,3199.35,37,3500
2006-05-24,PE,3600.0,845.0,3115.55,2006-06-29,3115.55,36,3500
2006-05-25,PE,3600.0,503.45,3177.7,2006-06-29,3177.7,35,3500
2006-05-26,PE,3600.0,450.0,3209.6,2006-06-29,3209.6,34,3500
2006-05-29,PE,3600.0,415.15,3214.9,2006-06-29,3214.9,31,3500
2006-05-30,PE,3600.0,498.0,3185.3,2006-06-29,3185.3,30,3500
2006-05-31,PE,3600.0,571.0,3071.05,2006-06-29,3071.05,29,3500
2006-06-01,PE,3600.0,738.75,2962.25,2006-06-29,2962.25,28,3500
2006-06-02,PE,3600.0,556.0,3091.35,2006-06-29,3091.35,27,3500
2006-06-05,PE,3600.0,630.0,3016.65,2006-06-29,3016.65,24,3500
2006-06-06,PE,3600.0,622.5,2937.3,2006-06-29,2937.3,23,3500
2006-06-07,PE,3600.0,755.0,2860.45,2006-06-29,2860.45,22,3500
2006-06-08,PE,3600.0,900.0,2724.35,2006-06-29,2724.35,21,3500
2006-06-09,PE,3600.0,770.0,2866.3,2006-06-29,2866.3,20,3500
2006-06-12,PE,3600.0,770.0,2776.85,2006-06-29,2776.85,17,3500
2006-06-13,PE,3600.0,952.0,2663.3,2006-06-29,2663.3,16,3500
2006-06-14,PE,3600.0,978.0,2632.8,2006-06-29,2632.8,15,3500
2006-06-15,PE,3600.0,851.0,2798.8,2006-06-29,2798.8,14,3500
2006-06-16,PE,3600.0,666.0,2890.35,2006-06-29,2890.35,13,3500
2006-06-19,PE,3600.0,725.0,2916.9,2006-06-29,2916.9,10,3500
2006-06-20,PE,3600.0,725.0,2861.3,2006-06-29,2861.3,9,3500
2006-06-21,PE,3600.0,725.0,2923.45,2006-06-29,2923.45,8,3500
2006-06-22,PE,3600.0,600.0,2994.75,2006-06-29,2994.75,7,3500
2006-06-23,PE,3600.0,569.35,3042.7,2006-06-29,3042.7,6,3500
2006-06-25,PE,3600.0,569.35,3050.3,2006-06-29,3050.3,4,3500
2006-06-26,PE,3600.0,555.0,2943.2,2006-06-29,2943.2,3,3500
2006-06-27,PE,3600.0,601.0,2982.45,2006-06-29,2982.45,2,3500
2006-06-28,PE,3600.0,601.0,2981.1,2006-06-29,2981.1,1,3500
2006-06-29,PE,3600.0,601.0,2997.9,2006-06-29,2997.9,0,3500
2006-04-07,CE,3600.0,83.0,3454.8,2006-06-29,3454.8,83,3500
2006-04-10,CE,3600.0,75.0,3478.45,2006-06-29,3478.45,80,3500
2006-04-12,CE,3600.0,45.0,3380.0,2006-06-29,3380.0,78,3500
2006-04-13,CE,3600.0,62.55,3345.5,2006-06-29,3345.5,77,3500
2006-04-17,CE,3600.0,64.9,3425.15,2006-06-29,3425.15,73,3500
2006-04-18,CE,3600.0,80.0,3518.1,2006-06-29,3518.1,72,3500
2006-04-19,CE,3600.0,100.0,3535.85,2006-06-29,3535.85,71,3500
2006-04-20,CE,3600.0,118.05,3573.5,2006-06-29,3573.5,70,3500
2006-04-21,CE,3600.0,122.45,3573.05,2006-06-29,3573.05,69,3500
2006-04-24,CE,3600.0,121.0,3548.9,2006-06-29,3548.9,66,3500
2006-04-25,CE,3600.0,89.85,3462.65,2006-06-29,3462.65,65,3500
2006-04-26,CE,3600.0,108.35,3555.75,2006-06-29,3555.75,64,3500
2006-04-27,CE,3600.0,100.0,3508.1,2006-06-29,3508.1,63,3500
2006-04-28,CE,3600.0,79.0,3508.35,2006-06-29,3508.35,62,3500
2006-04-29,CE,3600.0,111.0,3557.6,2006-06-29,3557.6,61,3500
2006-05-02,CE,3600.0,123.9,3605.45,2006-06-29,3605.45,58,3500
2006-05-03,CE,3600.0,129.9,3634.25,2006-06-29,3634.25,57,3500
2006-05-04,CE,3600.0,137.65,3648.4,2006-06-29,3648.4,56,3500
2006-05-05,CE,3600.0,137.0,3663.95,2006-06-29,3663.95,55,3500
2006-05-08,CE,3600.0,162.25,3693.15,2006-06-29,3693.15,52,3500
2006-05-09,CE,3600.0,185.0,3720.55,2006-06-29,3720.55,51,3500
2006-05-10,CE,3600.0,204.0,3754.25,2006-06-29,3754.25,50,3500
2006-05-11,CE,3600.0,177.8,3701.05,2006-06-29,3701.05,49,3500
2006-05-12,CE,3600.0,148.0,3650.05,2006-06-29,3650.05,48,3500
2006-05-15,CE,3600.0,75.3,3502.95,2006-06-29,3502.95,45,3500
2006-05-16,CE,3600.0,100.85,3523.3,2006-06-29,3523.3,44,3500
2006-05-17,CE,3600.0,140.1,3635.1,2006-06-29,3635.1,43,3500
2006-05-18,CE,3600.0,81.5,3388.9,2006-06-29,3388.9,42,3500
2006-05-19,CE,3600.0,69.8,3246.9,2006-06-29,3246.9,41,3500
2006-05-22,CE,3600.0,51.35,3081.35,2006-06-29,3081.35,38,3500
2006-05-23,CE,3600.0,68.55,3199.35,2006-06-29,3199.35,37,3500
2006-05-24,CE,3600.0,41.65,3115.55,2006-06-29,3115.55,36,3500
2006-05-25,CE,3600.0,26.75,3177.7,2006-06-29,3177.7,35,3500
2006-05-26,CE,3600.0,22.15,3209.6,2006-06-29,3209.6,34,3500
2006-05-29,CE,3600.0,22.65,3214.9,2006-06-29,3214.9,31,3500
2006-05-30,CE,3600.0,14.95,3185.3,2006-06-29,3185.3,30,3500
2006-05-31,CE,3600.0,9.95,3071.05,2006-06-29,3071.05,29,3500
2006-06-01,CE,3600.0,8.3,2962.25,2006-06-29,2962.25,28,3500
2006-06-02,CE,3600.0,10.25,3091.35,2006-06-29,3091.35,27,3500
2006-06-05,CE,3600.0,8.4,3016.65,2006-06-29,3016.65,24,3500
2006-06-06,CE,3600.0,7.85,2937.3,2006-06-29,2937.3,23,3500
2006-06-07,CE,3600.0,7.3,2860.45,2006-06-29,2860.45,22,3500
2006-06-08,CE,3600.0,4.95,2724.35,2006-06-29,2724.35,21,3500
2006-06-09,CE,3600.0,4.0,2866.3,2006-06-29,2866.3,20,3500
2006-06-12,CE,3600.0,3.25,2776.85,2006-06-29,2776.85,17,3500
2006-06-13,CE,3600.0,2.85,2663.3,2006-06-29,2663.3,16,3500
2006-06-14,CE,3600.0,2.65,2632.8,2006-06-29,2632.8,15,3500
2006-06-15,CE,3600.0,3.0,2798.8,2006-06-29,2798.8,14,3500
2006-06-16,CE,3600.0,3.0,2890.35,2006-06-29,2890.35,13,3500
2006-06-19,CE,3600.0,1.55,2916.9,2006-06-29,2916.9,10,3500
2006-06-20,CE,3600.0,1.1,2861.3,2006-06-29,2861.3,9,3500
2006-06-21,CE,3600.0,1.1,2923.45,2006-06-29,2923.45,8,3500
2006-06-22,CE,3600.0,0.5,2994.75,2006-06-29,2994.75,7,3500
2006-06-23,CE,3600.0,0.25,3042.7,2006-06-29,3042.7,6,3500
2006-06-25,CE,3600.0,0.25,3050.3,2006-06-29,3050.3,4,3500
2006-06-26,CE,3600.0,0.45,2943.2,2006-06-29,2943.2,3,3500
2006-06-27,CE,3600.0,0.5,2982.45,2006-06-29,2982.45,2,3500
2006-06-28,CE,3600.0,0.2,2981.1,2006-06-29,2981.1,1,3500
2006-06-29,CE,3600.0,0.2,2997.9,2006-06-29,2997.9,0,3500
2006-05-03,PE,3700.0,150.0,3634.25,2006-06-29,3634.25,57,3500
2006-05-04,PE,3700.0,150.0,3648.4,2006-06-29,3648.4,56,3500
2006-05-05,PE,3700.0,150.0,3663.95,2006-06-29,3663.95,55,3500
2006-05-08,PE,3700.0,189.0,3693.15,2006-06-29,3693.15,52,3500
2006-05-09,PE,3700.0,100.0,3720.55,2006-06-29,3720.55,51,3500
2006-05-10,PE,3700.0,117.05,3754.25,2006-06-29,3754.25,50,3500
2006-05-11,PE,3700.0,137.7,3701.05,2006-06-29,3701.05,49,3500
2006-05-12,PE,3700.0,176.7,3650.05,2006-06-29,3650.05,48,3500
2006-05-15,PE,3700.0,280.95,3502.95,2006-06-29,3502.95,45,3500
2006-05-16,PE,3700.0,306.05,3523.3,2006-06-29,3523.3,44,3500
2006-05-17,PE,3700.0,170.7,3635.1,2006-06-29,3635.1,43,3500
2006-05-18,PE,3700.0,320.0,3388.9,2006-06-29,3388.9,42,3500
2006-05-19,PE,3700.0,523.15,3246.9,2006-06-29,3246.9,41,3500
2006-05-22,PE,3700.0,740.0,3081.35,2006-06-29,3081.35,38,3500
2006-05-23,PE,3700.0,590.0,3199.35,2006-06-29,3199.35,37,3500
2006-05-24,PE,3700.0,684.35,3115.55,2006-06-29,3115.55,36,3500
2006-05-25,PE,3700.0,650.0,3177.7,2006-06-29,3177.7,35,3500
2006-05-26,PE,3700.0,534.0,3209.6,2006-06-29,3209.6,34,3500
2006-05-29,PE,3700.0,534.0,3214.9,2006-06-29,3214.9,31,3500
2006-05-30,PE,3700.0,513.0,3185.3,2006-06-29,3185.3,30,3500
2006-05-31,PE,3700.0,660.05,3071.05,2006-06-29,3071.05,29,3500
2006-06-01,PE,3700.0,831.0,2962.25,2006-06-29,2962.25,28,3500
2006-06-02,PE,3700.0,597.05,3091.35,2006-06-29,3091.35,27,3500
2006-06-05,PE,3700.0,645.0,3016.65,2006-06-29,3016.65,24,3500
2006-06-06,PE,3700.0,712.3,2937.3,2006-06-29,2937.3,23,3500
