,Date,Open,High,Low,Close,Volume,Turnover,daily_change,2day_change,3day_change
21,2005-02-03,2052.35,2083.75,2052.35,2079.45,78096873,25325300000.000004,27.199999999999815,19.59999999999991,21.84999999999991
22,2005-02-04,2079.4,2099.2,2060.8,2077.95,79164167,26326300000.0,-1.5,25.699999999999815,18.09999999999991
23,2005-02-07,2097.45,2098.0,2049.85,2055.1,62127314,23199600000.0,-22.84999999999991,-24.34999999999991,2.8499999999999086
24,2005-02-08,2055.0,2065.0,2043.6,2055.15,74190476,23832400000.0,0.0500000000001819,-22.799999999999727,-24.299999999999727
25,2005-02-09,2055.2,2077.7,2055.2,2070.0,68237793,23178000000.0,14.849999999999907,14.900000000000093,-7.949999999999817
26,2005-02-10,2070.1,2075.1,2049.85,2063.35,69893469,21150900000.0,-6.650000000000091,8.199999999999818,8.25
27,2005-02-11,2063.35,2084.5,2063.35,2082.05,84987297,25752100000.0,18.700000000000273,12.050000000000182,26.90000000000009
28,2005-02-14,2083.05,2110.15,2083.05,2098.25,86445194,26506000000.0,16.199999999999818,34.90000000000009,28.25
29,2005-02-15,2098.25,2101.6,2081.2,2089.95,60938189,22742600000.000004,-8.300000000000182,7.899999999999636,26.59999999999991
30,2005-02-16,2090.0,2103.4,2059.45,2068.8,68533655,26008400000.0,-21.14999999999964,-29.449999999999815,-13.25
31,2005-02-17,2069.1,2069.15,2045.85,2061.9,63853254,23084900000.0,-6.900000000000091,-28.049999999999727,-36.3499999999999
32,2005-02-18,2062.45,2076.7,2048.85,2055.55,63673961,21826900000.0,-6.349999999999909,-13.25,-34.39999999999964
33,2005-02-21,2055.15,2065.75,2039.9,2043.2,46917742,18460900000.0,-12.350000000000136,-18.70000000000005,-25.60000000000014
34,2005-02-22,2043.4,2061.65,2036.6,2058.4,51898487,19110900000.0,15.200000000000045,2.8499999999999086,-3.5
35,2005-02-23,2058.7,2065.15,2051.35,2057.1,52493127,20096800000.0,-1.3000000000001821,13.899999999999864,1.5499999999997272
36,2005-02-24,2057.75,2070.5,2052.4,2055.3,76500198,29586200000.0,-1.7999999999997272,-3.0999999999999086,12.100000000000136
37,2005-02-25,2057.3,2081.85,2051.2,2060.9,66309002,25621000000.0,5.599999999999909,3.800000000000182,2.5
38,2005-02-28,2061.2,2106.2,2047.7,2103.25,103139340,37053300000.0,42.3499999999999,47.94999999999982,46.1500000000001
